series,kind,k,W,R,pf_all,ci_low,ci_high,trades_all
PLBGB2,GBM,2.0,80,3.0,1.1836,1.002,1.3918,605
PLBGB2,GBM,2.5,30,1.5,1.0881,0.6886,1.7835,88
PLBGB2,GBM,2.5,30,2.0,1.1464,0.7575,1.8258,88
PLBGB2,GBM,2.5,30,3.0,1.2013,0.768,1.9004,88
PLBGB2,GBM,2.5,50,1.5,1.0639,0.7018,1.6675,97
PLBGB2,GBM,2.5,50,2.0,1.1424,0.7544,1.7459,97
PLBGB2,GBM,2.5,50,3.0,1.1936,0.7657,1.8075,97
PLBGB2,GBM,2.5,80,1.5,1.1797,0.8268,1.8187,104
PLBGB2,GBM,2.5,80,2.0,1.2409,0.8437,1.8528,104
PLBGB2,GBM,2.5,80,3.0,1.2754,0.8514,1.8762,104
PLBSH2,SHUF,1.5,30,1.5,1.3044,1.1864,1.4275,1911
PLBSH2,SHUF,1.5,30,2.0,1.1786,1.0725,1.2848,1911
PLBSH2,SHUF,1.5,30,3.0,1.039,0.9504,1.1413,1911
PLBSH2,SHUF,1.5,50,1.5,1.2915,1.1765,1.4061,2077
PLBSH2,SHUF,1.5,50,2.0,1.163,1.0602,1.2639,2077
PLBSH2,SHUF,1.5,50,3.0,1.028,0.9452,1.1273,2077
PLBSH2,SHUF,1.5,80,1.5,1.2725,1.1646,1.382,2184
PLBSH2,SHUF,1.5,80,2.0,1.1491,1.0523,1.2459,2184
PLBSH2,SHUF,1.5,80,3.0,1.0078,0.9265,1.1028,2184
PLBSH2,SHUF,2.0,30,1.5,1.3512,1.166,1.5669,783
PLBSH2,SHUF,2.0,30,2.0,1.2449,1.0783,1.4101,783
PLBSH2,SHUF,2.0,30,3.0,1.1047,0.9602,1.273,783
PLBSH2,SHUF,2.0,50,1.5,1.3313,1.1598,1.5285,866
PLBSH2,SHUF,2.0,50,2.0,1.2321,1.0721,1.3853,866
PLBSH2,SHUF,2.0,50,3.0,1.0928,0.9537,1.2536,866
PLBSH2,SHUF,2.0,80,1.5,1.3012,1.1375,1.4884,917
PLBSH2,SHUF,2.0,80,2.0,1.2034,1.0508,1.356,917
PLBSH2,SHUF,2.0,80,3.0,1.0665,0.9329,1.2203,917
PLBSH2,SHUF,2.5,30,1.5,1.2872,1.0363,1.6198,349
PLBSH2,SHUF,2.5,30,2.0,1.2615,1.0256,1.5591,349
PLBSH2,SHUF,2.5,30,3.0,1.1302,0.9074,1.3953,349
PLBSH2,SHUF,2.5,50,1.5,1.306,1.0664,1.6184,395
PLBSH2,SHUF,2.5,50,2.0,1.2765,1.0414,1.5556,395
