series,kind,ma_type,fast,slow,hyst,pf,ci_low,ci_high,trades
PLBGB1,GBM,ALMA,8,40,0.5,0.8606,0.7737,0.9756,1148
PLBGB1,GBM,ALMA,10,55,0.0,0.8301,0.7497,0.9263,1545
PLBGB1,GBM,ALMA,10,55,0.5,0.8428,0.7372,0.9671,917
PLBGB1,GBM,ALMA,12,60,0.0,0.8186,0.736,0.9187,1385
PLBGB1,GBM,ALMA,12,60,0.5,0.8407,0.7291,0.973,840
PLBGB1,GBM,McGinley,8,40,0.0,0.8097,0.6874,0.947,821
PLBGB1,GBM,McGinley,8,40,0.5,0.9011,0.7321,1.1036,423
PLBGB1,GBM,McGinley,10,55,0.0,0.8292,0.6838,0.9961,607
PLBGB1,GBM,McGinley,10,55,0.5,0.8353,0.6556,1.041,356
PLBGB1,GBM,McGinley,12,60,0.0,0.8466,0.6903,1.0177,547
PLBGB1,GBM,McGinley,12,60,0.5,0.8148,0.631,1.0248,332
PLBGB1,GBM,VWMA,8,40,0.0,0.9279,0.8046,1.068,890
PLBGB1,GBM,VWMA,8,40,0.5,0.8698,0.7353,1.0274,601
PLBGB1,GBM,VWMA,10,55,0.0,0.9596,0.8193,1.1222,672
PLBGB1,GBM,VWMA,10,55,0.5,0.9024,0.7406,1.0857,477
PLBGB1,GBM,VWMA,12,60,0.0,0.9143,0.7684,1.0845,603
PLBGB1,GBM,VWMA,12,60,0.5,0.8697,0.7103,1.0599,452
PLBSH1,SHUF,SMA,8,40,0.0,0.8059,0.6936,0.9327,888
PLBSH1,SHUF,SMA,8,40,0.5,0.8882,0.7464,1.0543,593
PLBSH1,SHUF,SMA,10,55,0.0,0.8057,0.6772,0.947,679
PLBSH1,SHUF,SMA,10,55,0.5,0.8415,0.6882,1.0156,471
PLBSH1,SHUF,SMA,12,60,0.0,0.8081,0.6796,0.9571,599
PLBSH1,SHUF,SMA,12,60,0.5,0.9049,0.7438,1.0886,444
PLBSH1,SHUF,EMA,8,40,0.0,0.7586,0.6476,0.8831,871
PLBSH1,SHUF,EMA,8,40,0.5,0.89,0.7226,1.08,439
PLBSH1,SHUF,EMA,10,55,0.0,0.7937,0.654,0.9459,643
PLBSH1,SHUF,EMA,10,55,0.5,0.8639,0.6875,1.052,376
PLBSH1,SHUF,EMA,12,60,0.0,0.8285,0.6755,0.9962,570
PLBSH1,SHUF,EMA,12,60,0.5,0.8634,0.6836,1.068,349
PLBSH1,SHUF,HMA,8,40,0.0,0.8869,0.8151,0.9683,2304
PLBSH1,SHUF,HMA,8,40,0.5,0.8748,0.7916,0.9722,1561
PLBSH1,SHUF,HMA,10,55,0.0,0.8733,0.7909,0.9634,1857
PLBSH1,SHUF,HMA,10,55,0.5,0.9355,0.8397,1.0528,1283
PLBSH1,SHUF,HMA,12,60,0.0,0.8462,0.7656,0.9395,1664
PLBSH1,SHUF,HMA,12,60,0.5,0.9037,0.8094,1.02,1193
PLBSH1,SHUF,ZLEMA,8,40,0.0,0.8734,0.7981,0.957,2184
PLBSH1,SHUF,ZLEMA,8,40,0.5,0.8697,0.7812,0.9781,1275
PLBSH1,SHUF,ZLEMA,10,55,0.0,0.9161,0.8274,1.0221,1579
PLBSH1,SHUF,ZLEMA,10,55,0.5,0.9326,0.8278,1.0646,993
PLBSH1,SHUF,ZLEMA,12,60,0.0,0.9093,0.8182,1.0198,1374
PLBSH1,SHUF,ZLEMA,12,60,0.5,0.8491,0.7426,0.9706,928
PLBSH1,SHUF,KAMA,8,40,0.0,0.9978,0.8285,1.1868,579
PLBSH1,SHUF,KAMA,8,40,0.5,1.0311,0.8168,1.2814,355
PLBSH1,SHUF,KAMA,10,55,0.0,0.8805,0.7157,1.0661,481
PLBSH1,SHUF,KAMA,10,55,0.5,1.0229,0.8128,1.2674,322
PLBSH1,SHUF,KAMA,12,60,0.0,0.9413,0.765,1.1526,424
PLBSH1,SHUF,KAMA,12,60,0.5,1.0224,0.8006,1.299,294
PLBSH1,SHUF,VIDYA,8,40,0.0,0.7595,0.5486,1.0218,246
PLBSH1,SHUF,VIDYA,8,40,0.5,0.8078,0.5577,1.1052,187
PLBSH1,SHUF,VIDYA,10,55,0.0,0.6331,0.445,0.8747,175
PLBSH1,SHUF,VIDYA,10,55,0.5,0.6838,0.4733,0.9657,158
PLBSH1,SHUF,VIDYA,12,60,0.0,0.5817,0.4006,0.814,167
PLBSH1,SHUF,VIDYA,12,60,0.5,0.6337,0.44,0.8895,155
PLBSH1,SHUF,FRAMA,8,40,0.0,0.8832,0.8105,0.9726,1831
PLBSH1,SHUF,FRAMA,8,40,0.5,0.8296,0.7111,0.9689,691
PLBSH1,SHUF,FRAMA,10,55,0.0,0.9052,0.8245,1.0011,1631
PLBSH1,SHUF,FRAMA,10,55,0.5,0.9917,0.8448,1.1659,611
PLBSH1,SHUF,FRAMA,12,60,0.0,0.8774,0.7935,0.9634,1672
PLBSH1,SHUF,FRAMA,12,60,0.5,0.8956,0.7633,1.0525,635
PLBSH1,SHUF,TEMA,8,40,0.0,0.8687,0.7898,0.9566,2015
PLBSH1,SHUF,TEMA,8,40,0.5,0.8677,0.7773,0.9797,1150
PLBSH1,SHUF,TEMA,10,55,0.0,0.8685,0.7835,0.9698,1588
PLBSH1,SHUF,TEMA,10,55,0.5,0.889,0.7785,1.0151,957
PLBSH1,SHUF,TEMA,12,60,0.0,0.8577,0.7742,0.9621,1381
PLBSH1,SHUF,TEMA,12,60,0.5,0.9423,0.8224,1.0801,862
PLBSH1,SHUF,DEMA,8,40,0.0,0.8634,0.778,0.966,1507
PLBSH1,SHUF,DEMA,8,40,0.5,0.8914,0.7727,1.0275,850
PLBSH1,SHUF,DEMA,10,55,0.0,0.9413,0.8266,1.0692,1114
PLBSH1,SHUF,DEMA,10,55,0.5,0.9799,0.8358,1.1484,667
PLBSH1,SHUF,DEMA,12,60,0.0,0.9651,0.8376,1.1088,968
PLBSH1,SHUF,DEMA,12,60,0.5,0.9637,0.8129,1.1331,608
PLBSH1,SHUF,T3,8,40,0.0,0.9225,0.7846,1.0815,678
PLBSH1,SHUF,T3,8,40,0.5,0.9007,0.7461,1.0744,557
PLBSH1,SHUF,T3,10,55,0.0,0.8539,0.7087,1.0245,545
PLBSH1,SHUF,T3,10,55,0.5,0.9149,0.746,1.1081,452
PLBSH1,SHUF,T3,12,60,0.0,0.8114,0.6676,0.9732,496
PLBSH1,SHUF,T3,12,60,0.5,1.0094,0.8191,1.2292,410
PLBSH1,SHUF,Tenkan,8,40,0.0,0.9096,0.7918,1.0426,965
PLBSH1,SHUF,Tenkan,8,40,0.5,0.896,0.7645,1.0488,669
PLBSH1,SHUF,Tenkan,10,55,0.0,0.8692,0.7477,1.0154,710
PLBSH1,SHUF,Tenkan,10,55,0.5,0.9186,0.7611,1.0964,524
PLBSH1,SHUF,Tenkan,12,60,0.0,0.9103,0.7789,1.0702,644
PLBSH1,SHUF,Tenkan,12,60,0.5,0.9854,0.8148,1.1795,477
