timestamp,symbol,side,entry_price,exit_price,size_usdt,pnl_pct,pnl_usdt,funding_paid,reason_exit,flag,entry_timestamp_ms,funding_rate_at_entry,funding_crowd_direction,signal_vs_crowd
2026-04-19 18:00:05.981,ONDO/USDT,long,0.2574,0.2535,0.0,-1.5152,-0.1731,-0.0061731699999999995,tf_exit,,0,2e-05,neutral,neutral
2026-04-19 19:00:08.536,SAND/USDT,short,0.07857,0.07897,0.0,-0.5091,-0.0379,-0.00278039,div_exit,,0,3.7e-05,neutral,neutral
2026-04-19 20:00:07.166,TRX/USDT,long,0.3331,0.3318,0.0,-0.3903,-0.0341,-0.00021721,not_operable,,1776592810797,-5.6e-05,short_crowd,contrarian
2026-04-19 21:00:08.305,TAO/USDT,short,245.82,241.18,0.0,1.8876,0.1,0.0006064600000000001,zone_exit,,0,-1e-06,neutral,neutral
2026-04-19 21:00:09.057,SAND/USDT,long,0.0793,0.07881,0.0,-0.6179,-0.0396,-0.00278039,tf_exit,,0,3.7e-05,neutral,neutral
2026-04-20 01:00:07.197,SEI/USDT,short,0.0578,0.0546,0.0,5.5363,0.746,0.00393256,tf_exit,,0,2e-06,neutral,neutral
2026-04-20 02:00:08.943,ONDO/USDT,long,0.2523,0.2528,0.0,0.1982,0.0277,-0.00725749,zone_exit,,0,5e-05,long_crowd,aligned
2026-04-20 04:00:06.815,INJ/USDT,short,3.214,3.277,0.0,-1.9602,-0.1225,0.00052063,tf_exit,,0,0.000128,long_crowd,contrarian
2026-04-20 10:00:06.737,INJ/USDT,short,3.22,3.259,0.0,-1.2112,-0.074,0.00181943,div_exit,,0,0.0002,long_crowd,contrarian
2026-04-20 15:00:07.897,ONDO/USDT,short,0.2519,0.252,0.0,-0.0397,0.0049,-0.00632413,div_exit,,0,5e-05,long_crowd,contrarian
2026-04-20 15:00:08.924,RENDER/USDT,short,1.811,1.768,0.0,2.3744,0.2505,0.0017940599999999999,zone_exit,,0,5e-05,long_crowd,contrarian
2026-04-20 17:00:06.970,UNI/USDT,short,3.233,3.226,0.0,0.2165,0.0233,-0.0003399,zone_exit_mr,,0,8.1e-05,long_crowd,contrarian
2026-04-20 19:00:07.615,IMX/USDT,long,0.1638,0.1674,0.0,2.1978,0.148,0.00029476000000000003,zone_exit,,0,3.5e-05,neutral,neutral
2026-04-20 20:00:08.778,UNI/USDT,long,3.26,3.259,0.0,-0.0307,-0.0015,-0.0003399,cancel_mr,,0,8.1e-05,long_crowd,aligned
2026-04-20 23:00:08.232,SAND/USDT,long,0.08133,0.08007,0.0,-1.5492,-0.0628,-0.00278039,div_exit,,0,-1.2e-05,neutral,neutral
2026-04-21 01:00:08.149,LINK/USDT,long,9.288,9.308,0.0,0.2153,0.0168,-0.00022738,cancel_tf,,0,3.5e-05,neutral,neutral
2026-04-21 01:00:08.996,ATOM/USDT,long,1.801,1.796,0.0,-0.2776,-0.0128,0.0020364,tf_exit,,0,0.0001,long_crowd,aligned
2026-04-21 04:00:09.089,STX/USDT,short,0.2223,0.2231,0.0,-0.3599,-0.0286,-0.00107104,tf_exit,,0,5.2e-05,long_crowd,contrarian
2026-04-21 04:00:09.962,GRT/USDT,long,0.02448,0.0247,0.0,0.8987,0.066,-0.00289841,tf_exit,,0,0.0001,long_crowd,aligned
2026-04-21 05:00:09.263,BNB/USDT,long,624.76,630.58,0.0,0.9316,0.0584,-0.0020922000000000002,zone_exit,,0,0.0001,long_crowd,aligned
2026-04-21 05:00:10.015,APT/USDT,short,0.9269,0.932,0.0,-0.5502,-0.0292,-0.0036540500000000003,div_exit,,0,8.3e-05,long_crowd,contrarian
2026-04-21 05:00:10.766,ALGO/USDT,short,0.1017,0.1031,0.0,-1.3766,-0.123,-0.00035231,div_exit,,0,0.0001,long_crowd,contrarian
2026-04-21 06:00:09.398,ENA/USDT,short,0.1119,0.1116,0.0,0.2681,0.0309,0.0013492,zone_exit,,0,5e-05,long_crowd,contrarian
2026-04-21 07:00:10.037,SAND/USDT,long,0.07961,0.07907,0.0,-0.6783,-0.0564,-0.00278039,tf_exit,,0,0.0001,long_crowd,aligned
2026-04-21 09:00:07.506,ONDO/USDT,long,0.2575,0.258,0.0,0.1942,0.0367,-0.00693756,div_exit,,0,5e-05,long_crowd,aligned
2026-04-21 11:00:08.153,ONDO/USDT,long,0.2596,0.2606,0.0,0.3852,0.0513,-0.00693756,div_exit,,0,5e-05,long_crowd,aligned
2026-04-21 13:00:08.143,OP/USDT,long,0.124,0.1227,0.0,-1.0484,-0.0932,-0.00372051,sl_hit,,0,0.0001,long_crowd,aligned
2026-04-21 14:00:07.843,MANA/USDT,long,0.0898,0.091,0.0,1.3363,0.1599,-0.00629318,div_exit,,0,0.0001,long_crowd,aligned
2026-04-21 15:00:09.971,XLM/USDT,long,0.17942,0.17748,0.0,-1.0813,-0.0927,0.0,tf_exit,,0,0.0001,long_crowd,aligned
2026-04-21 16:00:09.529,TAO/USDT,long,247.88,244.6,0.0,-1.3232,-0.0687,-0.00075699,div_exit,,0,-4.2e-05,neutral,neutral
2026-04-21 17:00:09.420,RENDER/USDT,long,1.778,1.776,0.0,-0.1125,-0.0065,-0.00317076,regime_change,,1776700809221,5e-05,long_crowd,aligned
2026-04-21 17:00:10.194,INJ/USDT,short,3.261,3.247,0.0,0.4293,0.026,0.00095618,regime_change,,1776783612445,4e-05,neutral,neutral
2026-04-21 18:00:10.777,DOT/USDT,short,1.273,1.271,0.0,0.1571,0.0136,-0.01346856,zone_exit_mr,,0,0.0001,long_crowd,contrarian
2026-04-21 19:00:09.038,BTC/USDT,short,75723.7,75591.1,7.55,0.1751,0.0145,0.008230340000000001,zone_exit,,0,-4.6e-05,neutral,neutral
2026-04-21 19:00:09.829,ALGO/USDT,short,0.1028,0.1028,8.92,0.0,0.0152,-0.00021281,div_exit,,0,-1.3e-05,neutral,neutral
2026-04-21 21:00:10.315,INJ/USDT,short,3.202,3.235,9.71,-1.0306,-0.105,0.00277561,div_exit,,0,0.000146,long_crowd,contrarian
2026-04-21 23:00:09.013,ADA/USDT,short,0.2444,0.2491,12.69,-1.9231,-0.2269,0.0,tf_exit,,0,-2.7e-05,neutral,neutral
2026-04-22 00:00:09.379,SUI/USDT,short,0.9374,0.9492,12.33,-1.2588,-0.1482,0.0,cancel_tf,,0,8e-05,long_crowd,contrarian
2026-04-22 01:00:09.854,ICP/USDT,short,2.456,2.468,5.47,-0.4886,-0.0244,-0.0019272,tf_exit,,0,0.0001,long_crowd,contrarian
2026-04-22 02:00:10.215,SOL/USDT,long,86.059,86.252,6.89,0.2243,0.0149,-0.00066238,div_exit,,0,7.9e-05,long_crowd,aligned
2026-04-22 02:00:11.073,ALGO/USDT,short,0.1014,0.1029,10.0,-1.4793,-0.1363,0.00079113,div_exit,,0,0.0001,long_crowd,contrarian
2026-04-22 03:00:10.412,SHIB/USDT,long,6.087e-06,6.184e-06,10.77,1.5936,0.1698,0.0011,not_operable,,1776819611154,2.6e-05,neutral,neutral
2026-04-22 03:00:11.215,ICP/USDT,short,2.455,2.502,12.15,-1.9145,-0.2235,-0.0019272,tf_exit,,0,0.0001,long_crowd,contrarian
2026-04-22 03:00:12.156,ETC/USDT,long,8.437,8.57,6.68,1.5764,0.1022,0.0006,regime_change,,1776823213367,6e-06,neutral,neutral
2026-04-22 03:00:13.051,SAND/USDT,short,0.07822,0.07928,5.3,-1.3552,-0.0636,-0.0010427000000000001,tf_exit,,0,0.0001,long_crowd,contrarian
2026-04-22 04:00:13.985,ATOM/USDT,long,1.819,1.905,8.4,4.7279,0.388,-0.00056955,not_operable,,1776805211753,5e-05,long_crowd,aligned
2026-04-22 12:00:06.898,ONDO/USDT,long,0.2649,0.27,9.15,1.9253,0.1738,-0.0009036199999999999,zone_exit,,1776826814129,5e-05,long_crowd,aligned
