timestamp,symbol,side,entry_price,exit_price,size_usdt,pnl_pct,pnl_usdt,funding_paid,reason_exit
2026-04-08 20:00:06.228,BNB/USDT,long,606.81,604.16,8.09,-0.4367,-0.035509999999999695,0.0008,tf_exit
2026-04-08 20:00:06.586,ONDO/USDT,long,0.2635,0.2592,10.84,-1.6319,-0.1771600000000011,0.0005,tf_exit
2026-04-08 20:00:06.942,ENA/USDT,long,0.0911,0.0889,15.19,-2.4149,-0.3640999999999989,0.0008,sl_hit
2026-04-09 00:00:06.710,NEAR/USDT,long,1.3509,1.3292,15.19,-1.6063,-0.2456440000000006,0.0011,tf_exit
2026-04-09 01:00:06.950,ICP/USDT,long,2.503,2.422,15.19,-3.2361,-0.4884299999999998,0.0015,sl_hit
2026-04-09 01:00:07.342,ENA/USDT,long,0.0899,0.0873,12.27,-2.8921,-0.3591899999999988,0.0006,sl_hit
2026-04-09 02:00:06.733,ARB/USDT,long,0.1021,0.1012,15.19,-0.8815,-0.12985199999999972,0.0015,sl_hit
2026-04-09 14:00:07.064,ONDO/USDT,short,0.2589,0.2513,15.19,2.9355,0.44596799999999975,0.0015,below_min_order
2026-04-09 17:00:07.668,DOGE/USDT,short,0.09162,0.09247,15.17,-0.9277,-0.14081950000000057,0.0015,tf_exit
2026-04-09 17:00:08.021,INJ/USDT,short,2.936,2.957,15.19,-0.7153,-0.10919999999999952,0.0031,tf_exit
2026-04-09 17:00:08.385,SAND/USDT,short,0.07635,0.07826,15.17,-2.5016,-0.37827549999999904,-0.002,regime_change
2026-04-09 17:00:08.750,GRT/USDT,short,0.02407,0.02425,15.11,-0.7478,-0.11361599999999976,0.0015,tf_exit
2026-04-09 20:00:07.693,SOL/USDT,long,83.765,84.103,15.19,0.4035,0.060839999999998895,0.0015,div_exit
2026-04-10 01:00:08.597,DOT/USDT,long,1.3,1.3,15.19,0.0,0.0,0.0015,div_exit
2026-04-10 02:00:08.508,TAO/USDT,short,284.0,290.45,15.19,-2.2711,-0.32120999999999944,0.0007,zone_exit
2026-04-10 02:00:08.868,MANA/USDT,long,0.0907,0.0913,12.16,0.6615,0.08020200000000044,0.0012,cancel_tf
2026-04-10 04:00:08.062,SOL/USDT,long,84.235,82.889,15.19,-1.5979,-0.24228000000000063,0.0015,not_operable
2026-04-10 07:00:07.221,ARB/USDT,long,0.112,0.1092,15.19,-2.5,-0.38992799999999955,0.0016,tf_exit
2026-04-10 07:00:07.571,GRT/USDT,short,0.02409,0.0241,15.19,-0.0415,-0.0062911999999997435,0.0015,tf_exit
2026-04-10 08:00:07.092,DOT/USDT,long,1.296,1.287,8.34,-0.6944,-0.05769000000000076,0.0008,not_operable
2026-04-10 08:00:07.482,ONDO/USDT,long,0.2554,0.2524,8.93,-1.1746,-0.1046700000000001,-0.0001,zone_exit
2026-04-10 16:00:08.293,ENA/USDT,long,0.0944,0.0961,0.0,1.8008,0.2377,0.0,sl_hit
2026-04-10 17:00:07.457,STX/USDT,short,0.2143,0.2199,0.0,-2.6132,-0.3436,0.0002955,not_operable
2026-04-10 22:00:07.442,SOL/USDT,long,85.373,85.182,0.0,-0.2237,-0.02,0.0,div_exit
2026-04-10 23:00:07.586,ONDO/USDT,short,0.2576,0.2571,0.0,0.1941,0.0258,0.0,div_exit
2026-04-11 04:00:08.090,MANA/USDT,short,0.0904,0.089,0.0,1.5487,0.2697,0.00150821,zone_exit
2026-04-11 07:00:08.001,SUI/USDT,long,0.9325,0.9311,0.0,-0.1501,-0.011,0.0,tf_exit
2026-04-11 07:00:08.540,ONDO/USDT,long,0.2529,0.2532,0.0,0.1186,0.0285,0.0,direction_reversal
2026-04-11 12:00:07.823,ETC/USDT,long,8.347,8.349,0.0,0.024,0.0129,0.0,zone_exit
2026-04-11 14:00:07.999,ICP/USDT,long,2.54,2.512,0.0,-1.1024,-0.1416,-0.00143665,tf_exit
2026-04-11 14:00:08.550,MANA/USDT,long,0.0887,0.0883,0.0,-0.451,-0.0203,0.0009217800000000001,tf_exit
2026-04-11 16:00:08.316,ICP/USDT,long,2.51,2.514,0.0,0.1594,0.0298,-0.00143665,tf_exit
2026-04-11 19:00:08.420,AVAX/USDT,long,9.444,9.486,0.0,0.4447,0.0401,0.0,div_exit
2026-04-11 20:00:08.711,ONDO/USDT,short,0.2532,0.2618,0.0,-3.3965,-0.4215,0.00173151,tf_exit
2026-04-11 21:00:08.624,INJ/USDT,short,3.008,3.044,0.0,-1.1968,-0.074,0.0006018,regime_change
2026-04-11 22:00:09.009,SOL/USDT,long,86.037,85.266,0.0,-0.8961,-0.1109,0.0,div_exit
2026-04-11 23:00:09.324,ONDO/USDT,short,0.2587,0.2578,0.0,0.3479,0.0373,0.00241729,zone_exit
2026-04-12 00:00:08.824,ALGO/USDT,long,0.1093,0.1079,0.0,-1.2809,-0.1328,0.0,tf_exit
2026-04-12 02:00:07.462,DOT/USDT,long,1.283,1.243,0.0,-3.1177,-0.1942,-0.00066923,regime_change
2026-04-12 03:00:07.918,ICP/USDT,long,2.529,2.467,0.0,-2.4516,-0.2864,-0.00074705,not_operable
2026-04-12 03:00:08.461,RENDER/USDT,short,1.937,1.942,0.0,-0.2581,-0.0276,0.0,zone_exit
2026-04-12 04:00:08.868,SHIB/USDT,short,5.825e-06,5.805e-06,0.0,0.3433,0.0283,0.0,div_exit
2026-04-12 04:00:09.411,UNI/USDT,short,3.073,3.078,0.0,-0.1627,-0.014,0.0,div_exit
2026-04-12 04:00:09.942,ETC/USDT,short,8.238,8.231,0.0,0.085,-0.0015,0.0,div_exit
2026-04-12 04:00:10.511,STX/USDT,short,0.2137,0.2138,0.0,-0.0468,-0.0084,0.0002955,div_exit
2026-04-12 05:00:08.313,MANA/USDT,long,0.0877,0.0874,0.0,-0.3421,-0.0276,0.0009217800000000001,tf_exit
2026-04-12 06:00:09.775,SHIB/USDT,short,5.805e-06,5.83e-06,0.0,-0.4307,-0.0563,0.0,div_exit
2026-04-12 07:00:09.720,ONDO/USDT,short,0.2473,0.2478,0.0,-0.2022,-0.0125,0.00241729,div_exit
2026-04-12 07:00:10.297,GRT/USDT,short,0.02362,0.02366,0.0,-0.1693,-0.0111,0.0,tf_exit
2026-04-12 09:00:09.577,ATOM/USDT,long,1.743,1.74,0.0,-0.1721,0.0,0.0,tf_exit
2026-04-12 13:00:09.698,ONDO/USDT,short,0.2481,0.2467,0.0,0.5643,0.0278,0.00267384,div_exit
2026-04-12 14:00:09.794,WLD/USDT,long,0.2936,0.2847,0.0,-3.0313,-0.3303,-0.00274475,zone_exit
2026-04-12 18:00:09.760,SHIB/USDT,short,5.777e-06,5.813e-06,0.0,-0.6232,-0.0392,0.0,div_exit
2026-04-12 18:00:10.306,MANA/USDT,long,0.0865,0.0876,0.0,1.2717,0.0703,0.0003080600000000001,tf_exit
2026-04-12 19:00:07.922,STX/USDT,short,0.2128,0.2144,0.0,-0.7519,-0.0583,0.0002955,div_exit
2026-04-12 21:00:09.137,BNB/USDT,short,592.27,595.87,0.0,-0.6078,-0.0315,0.0,div_exit
2026-04-12 22:00:08.947,BTC/USDT,long,71609.5,71329.9,0.0,-0.3905,-0.0281,0.00029353999999999996,zone_exit
2026-04-12 22:00:09.466,ONDO/USDT,short,0.2456,0.245,0.0,0.2443,0.0361,0.00316489,div_exit
2026-04-12 22:00:09.980,POL/USDT,short,0.08352,0.08244,0.0,1.2931,0.1016,-0.00157982,zone_exit
2026-04-13 02:00:08.786,SHIB/USDT,short,5.758e-06,5.802e-06,0.0,-0.7642,-0.094,0.0,div_exit
2026-04-13 02:00:09.324,TAO/USDT,short,263.32,265.29,0.0,-0.7481,-0.0377,0.00014671000000000006,tf_exit
2026-04-13 02:00:09.892,ONDO/USDT,short,0.2426,0.2456,0.0,-1.2366,-0.1468,0.00375816,div_exit
2026-04-13 03:00:08.883,ETC/USDT,short,8.219,8.209,0.0,0.1217,0.0273,0.0007351,regime_change
2026-04-13 06:00:08.465,ENA/USDT,short,0.0916,0.0933,0.0,-1.8559,-0.1055,0.00145444,tf_exit
2026-04-13 08:00:08.706,DOT/USDT,short,1.167,1.184,0.0,-1.4567,-0.1916,-0.00066923,div_exit
2026-04-13 09:00:07.974,RENDER/USDT,short,1.889,1.853,0.0,1.9058,0.1083,0.00027139,regime_change
2026-04-13 09:00:08.509,MANA/USDT,long,0.0857,0.0854,0.0,-0.3501,-0.0243,-0.00039886999999999995,tf_exit
2026-04-13 11:00:08.581,VET/USDT,short,0.006789,0.006765,0.0,0.3535,0.0316,0.00113182,zone_exit
2026-04-13 13:00:07.611,DOT/USDT,short,1.18,1.171,0.0,0.7627,0.1053,-0.00976288,div_exit
2026-04-13 14:00:08.196,ENA/USDT,short,0.0929,0.094,0.0,-1.1841,-0.0826,0.00238624,tf_exit
2026-04-13 16:00:07.757,HBAR/USDT,short,0.08644,0.08498,0.0,1.689,0.0894,0.00144421,not_operable
2026-04-13 16:00:08.422,ENA/USDT,short,0.095,0.0935,0.0,1.5789,0.1928,0.00238624,tf_exit
2026-04-13 18:00:07.855,ENA/USDT,short,0.0945,0.0942,0.0,0.3175,0.0392,0.00238624,tf_exit
2026-04-13 20:00:08.075,ONDO/USDT,short,0.2473,0.2514,0.0,-1.6579,-0.2044,0.00375816,low_confidence
2026-04-13 21:00:08.134,RENDER/USDT,short,1.861,1.883,0.0,-1.1822,-0.1547,0.00038647,tf_exit
