timestamp,symbol,side,entry_price,exit_price,size_usdt,pnl_pct,pnl_usdt,funding_paid,reason_exit,flag,entry_timestamp_ms,cluster
2026-04-13 22:00:19.476,ADA/USDT,short,0.23926,0.24019,0.0,-0.3887,-0.0339,0.0,sl_hit,,,
2026-04-13 22:00:20.202,DOT/USDT,short,1.174,1.184,0.0,-0.8518,-0.102,-0.01903581,sl_hit,,,
2026-04-13 22:00:20.532,TAO/USDT,short,254.65,257.96,0.0,-1.2998,-0.1726,0.0008501200000000001,sl_hit,,,
2026-04-13 22:00:21.089,ENA/USDT,short,0.0954,0.0967,0.0,-1.3627,-0.0693,0.00238624,sl_hit,,,
2026-04-13 22:00:21.399,ALGO/USDT,short,0.1056,0.1047,0.0,0.8523,0.0663,0.00300416,sl_hit,,,
2026-04-14 00:00:07.834,HBAR/USDT,short,0.08561,0.08777,0.0,-2.5231,-0.2953,0.00144421,tf_exit,,,
2026-04-14 01:00:07.240,ONDO/USDT,long,0.2578,0.2541,0.0,-1.4352,-0.1573,0.00384624,div_exit,,,
2026-04-14 01:00:08.054,ALGO/USDT,short,0.1052,0.1099,0.0,-4.4677,-0.4007,0.00391514,regime_change,,,
2026-04-14 02:00:07.479,ATOM/USDT,long,1.777,1.755,0.0,-1.238,-0.118,0.0,tf_exit,,,
2026-04-14 05:00:07.531,HBAR/USDT,short,0.08667,0.0865,0.0,0.1961,0.019,0.00144421,zone_exit,,,
2026-04-14 07:00:07.734,RENDER/USDT,long,1.922,1.899,0.0,-1.1967,-0.0679,0.00038647,tf_exit,,,
2026-04-14 10:00:06.948,WLD/USDT,long,0.3197,0.3222,0.0,0.782,0.0946,-0.00384226,sl_hit,,,
2026-04-14 10:00:07.753,APT/USDT,long,0.8671,0.8679,0.0,0.0923,0.0157,-0.00039903,div_exit,,,
2026-04-14 12:00:07.131,SAND/USDT,long,0.07984,0.07742,0.0,-3.0311,-0.211,-0.00069072,zone_exit,,,
