sym,anchor,entry_T,exit_T,side,pnl_pct,reason,k
BTC,2025-10-01,2025-10-26 12:00:00+00:00,2025-10-27 02:00:00+00:00,long,1.7636,div_exit,1
BTC,2025-10-01,2025-10-27 03:00:00+00:00,2025-10-27 07:00:00+00:00,long,1.0185,div_exit,1
BTC,2025-10-01,2025-10-27 08:00:00+00:00,2025-10-27 18:00:00+00:00,long,0.1311,div_exit,1
BTC,2025-10-01,2025-10-27 19:00:00+00:00,2025-10-27 21:00:00+00:00,long,-0.769,tf_exit,1
BTC,2025-10-01,2025-10-28 02:00:00+00:00,2025-10-28 03:00:00+00:00,long,-0.4263,tf_exit,1
BTC,2025-10-01,2025-10-28 10:00:00+00:00,2025-10-28 11:00:00+00:00,long,0.0586,div_exit,1
BTC,2025-10-01,2025-10-28 14:00:00+00:00,2025-10-28 20:00:00+00:00,long,-1.5875,tf_exit,1
BTC,2025-10-01,2025-11-04 11:00:00+00:00,2025-11-05 15:00:00+00:00,short,0.5915,tf_exit,1
BTC,2025-10-01,2025-11-06 10:00:00+00:00,2025-11-06 16:00:00+00:00,short,0.7738,div_exit,1
BTC,2025-10-01,2025-11-06 17:00:00+00:00,2025-11-07 05:00:00+00:00,short,-1.15,not_operable,1
BTC,2025-10-01,2025-11-14 06:00:00+00:00,2025-11-14 08:00:00+00:00,short,0.3815,div_exit,1
BTC,2025-10-01,2025-11-14 09:00:00+00:00,2025-11-14 10:00:00+00:00,short,0.5519,div_exit,1
BTC,2025-10-01,2025-11-14 11:00:00+00:00,2025-11-14 12:00:00+00:00,short,0.6044,div_exit,1
BTC,2025-10-01,2025-11-14 13:00:00+00:00,2025-11-15 19:00:00+00:00,short,-0.7365,zone_exit,1
BTC,2025-10-01,2025-11-15 21:00:00+00:00,2025-11-15 23:00:00+00:00,short,-0.3591,zone_exit,1
BTC,2025-10-01,2025-11-17 20:00:00+00:00,2025-11-18 17:00:00+00:00,short,-1.9854,tf_exit,1
BTC,2025-10-01,2025-11-19 06:00:00+00:00,2025-11-19 16:00:00+00:00,short,0.5619,div_exit,1
BTC,2025-10-01,2025-11-19 17:00:00+00:00,2025-11-20 02:00:00+00:00,short,-2.9857,tf_exit,1
BTC,2025-10-01,2025-11-20 17:00:00+00:00,2025-11-21 20:00:00+00:00,short,4.1749,not_operable,1
BTC,2025-10-01,2025-11-27 03:00:00+00:00,2025-11-27 16:00:00+00:00,long,-0.4721,not_operable,1
BTC,2025-10-01,2025-11-28 13:00:00+00:00,2025-11-28 14:00:00+00:00,long,0.9437,div_exit,1
BTC,2025-10-01,2025-11-28 15:00:00+00:00,2025-11-28 19:00:00+00:00,long,-1.5387,not_operable,1
BTC,2025-10-01,2025-11-30 13:00:00+00:00,2025-11-30 20:00:00+00:00,long,-0.0095,not_operable,1
BTC,2025-10-01,2025-12-01 05:00:00+00:00,2025-12-01 17:00:00+00:00,short,1.4327,div_exit,1
BTC,2025-10-01,2025-12-01 18:00:00+00:00,2025-12-02 04:00:00+00:00,short,-2.4162,tf_exit,1
