sym,anchor,entry_T,exit_T,side,pnl_pct,reason,k
SOL,2025-10-01,2025-10-02 16:00:00+00:00,2025-10-02 18:00:00+00:00,long,1.162,div_exit,0
SOL,2025-10-01,2025-10-03 06:00:00+00:00,2025-10-04 01:00:00+00:00,long,0.3287,zone_exit,0
SOL,2025-10-01,2025-10-18 06:00:00+00:00,2025-10-18 07:00:00+00:00,short,-0.97,div_exit,1
SOL,2025-10-01,2025-10-19 01:00:00+00:00,2025-10-19 05:00:00+00:00,short,-0.5814,zone_exit,1
SOL,2025-10-01,2025-10-31 06:00:00+00:00,2025-10-31 12:00:00+00:00,short,-1.7123,not_operable,0
SOL,2025-10-01,2025-11-04 02:00:00+00:00,2025-11-04 06:00:00+00:00,short,6.0415,div_exit,0
SOL,2025-10-01,2025-11-05 09:00:00+00:00,2025-11-05 13:00:00+00:00,short,-1.67,zone_exit,0
SOL,2025-10-01,2025-11-10 18:00:00+00:00,2025-11-11 08:00:00+00:00,long,-2.294,not_operable,0
SOL,2025-10-01,2025-11-14 18:00:00+00:00,2025-11-15 07:00:00+00:00,short,-0.8839,zone_exit,0
SOL,2025-10-01,2025-11-24 09:00:00+00:00,2025-11-24 17:00:00+00:00,long,2.397,not_operable,0
SOL,2025-10-01,2025-11-25 13:00:00+00:00,2025-11-25 23:00:00+00:00,long,1.9588,div_exit,0
SOL,2025-10-01,2025-11-27 11:00:00+00:00,2025-11-27 23:00:00+00:00,long,-1.061,zone_exit,0
SOL,2025-10-01,2025-12-02 00:00:00+00:00,2025-12-02 12:00:00+00:00,short,-1.3106,zone_exit,0
SOL,2025-10-01,2025-12-09 17:00:00+00:00,2025-12-09 22:00:00+00:00,long,-4.1206,sl_hit,0
SOL,2025-10-01,2025-12-24 14:00:00+00:00,2025-12-25 04:00:00+00:00,short,-0.6068,not_operable,0
SOL,2025-10-01,2025-12-27 03:00:00+00:00,2025-12-27 15:00:00+00:00,long,0.8175,div_exit,0
SOL,2025-10-01,2026-01-19 00:00:00+00:00,2026-01-19 23:00:00+00:00,short,3.5541,div_exit,0
SOL,2025-10-01,2026-01-20 04:00:00+00:00,2026-01-20 17:00:00+00:00,short,5.3408,div_exit,0
SOL,2025-10-01,2026-01-21 09:00:00+00:00,2026-01-21 13:00:00+00:00,short,-0.2045,zone_exit,0
SOL,2025-10-01,2026-01-31 15:00:00+00:00,OPEN_END,short,0.0,open_at_end,1
