cap_lev,capital,n_trades,pnl_total,pnl_per_trade,n_liquidaciones,max_drawdown_usdt,max_drawdown_pct_capital,sharpe,pct_saturated
1x,296.0,76,-1.1659999999999997,-0.015342105263157891,0,1.6461999999999999,0.5561486486486485,-1.3216774078322673,100.0
1x,500.0,76,-1.1659999999999997,-0.015342105263157891,0,1.6461999999999999,0.32924,-1.3216774078322673,100.0
1x,1000.0,76,-1.1659999999999997,-0.015342105263157891,0,1.6461999999999999,0.16462,-1.3216774078322673,100.0
3x,296.0,76,-1.8664324717044765,-0.02455832199611153,0,2.6277291226516644,0.887746325220157,-0.995870130828295,15.789473684210526
3x,500.0,76,-1.8664324717044765,-0.02455832199611153,0,2.6277291226516644,0.5255458245303329,-0.995870130828295,15.789473684210526
3x,1000.0,76,-1.8664324717044765,-0.02455832199611153,0,2.6277291226516644,0.26277291226516647,-0.995870130828295,15.789473684210526
5x,296.0,76,-1.0869613324270933,-0.014302122795093332,0,2.347931274603974,0.7932200252040453,-0.4291189683390992,1.3157894736842104
5x,500.0,76,-1.0869613324270933,-0.014302122795093332,0,2.347931274603974,0.46958625492079487,-0.4291189683390992,1.3157894736842104
5x,1000.0,76,-1.0869613324270933,-0.014302122795093332,0,2.347931274603974,0.23479312746039743,-0.4291189683390992,1.3157894736842104
unr,296.0,76,-1.0396341777601976,-0.013679397075792073,0,2.300604119937079,0.7772311216003644,-0.40998255679888446,0.0
unr,500.0,76,-1.0396341777601976,-0.013679397075792073,0,2.300604119937079,0.4601208239874158,-0.40998255679888446,0.0
unr,1000.0,76,-1.0396341777601976,-0.013679397075792073,0,2.300604119937079,0.2300604119937079,-0.40998255679888446,0.0
